target,app,n,positive_n,negative_n,tp,fn,tn,fp,sensitivity,sensitivity_ci_low,sensitivity_ci_high,specificity,specificity_ci_low,specificity_ci_high,ppv,ppv_ci_low,ppv_ci_high,npv,npv_ci_low,npv_ci_high,accuracy,accuracy_ci_low,accuracy_ci_high,stratum
basal_cell_carcinoma_vs_rest,AI Skin Scanner,231,58,173,41,17,158,15,0.7068965517241379,0.5798709910321588,0.8082181720903779,0.9132947976878613,0.861881600364706,0.9467523079598844,0.7321428571428571,0.6040544407084485,0.8304269458149827,0.9028571428571428,0.8499458032983596,0.9384619905642824,0.8614718614718615,0.8109826332087084,0.9001354157023556,Overall
basal_cell_carcinoma_vs_rest,ChatGPT,231,58,173,30,28,158,15,0.5172413793103449,0.39162261783409485,0.6407181457594501,0.9132947976878613,0.861881600364706,0.9467523079598844,0.6666666666666666,0.5207048830990042,0.7864112506566996,0.8494623655913979,0.7910335094686664,0.8937484175538467,0.8138528138528138,0.758674082911331,0.8587637439874969,Overall
basal_cell_carcinoma_vs_rest,Claude,231,58,173,17,41,163,10,0.29310344827586204,0.191781827909622,0.42012900896784117,0.9421965317919075,0.8968790936609142,0.9683026404206406,0.6296296296296297,0.4422923441210239,0.784674870390344,0.7990196078431373,0.7387332717312681,0.8482526005400096,0.7792207792207793,0.7214089879472466,0.8278977683972281,Overall
basal_cell_carcinoma_vs_rest,Model Dermatol,231,58,173,48,10,112,61,0.8275862068965517,0.7109174349067378,0.903557073370612,0.6473988439306358,0.5737061686014046,0.7146877427591137,0.44036697247706424,0.3507793494332508,0.5340147667022284,0.9180327868852459,0.8556745297110475,0.954869157209614,0.6926406926406926,0.630393797749691,0.7485852822089001,Overall
malignant_vs_benign,AI Skin Scanner,231,178,53,119,59,50,3,0.6685393258426966,0.5964666084864052,0.7334911491620493,0.9433962264150944,0.8462979168981912,0.9805633385150643,0.9754098360655737,0.93019240156411,0.9916023796397794,0.45871559633027525,0.36817162041888235,0.5520704599826032,0.7316017316017316,0.671012256987945,0.7846142773442936,Overall
malignant_vs_benign,ChatGPT,231,178,53,120,58,51,2,0.6741573033707865,0.602257073812062,0.7386992757580076,0.9622641509433962,0.8724571280258165,0.9895897127241732,0.9836065573770492,0.9421950412865175,0.9954927533864045,0.46788990825688076,0.37691328555456327,0.5610527769799255,0.7402597402597403,0.6801102540539505,0.7925490479168764,Overall
malignant_vs_benign,Claude,231,178,53,139,39,52,1,0.7808988764044944,0.714552323458401,0.8353772726223565,0.9811320754716981,0.9005708794749878,0.9966615466117363,0.9928571428571429,0.9606516069372742,0.9987379955557328,0.5714285714285714,0.4688974928537033,0.6681733637278853,0.8268398268398268,0.772804635538447,0.8701823428182636,Overall
malignant_vs_benign,Model Dermatol,231,178,53,110,68,53,0,0.6179775280898876,0.5448204824524585,0.6861499479014594,1,0.9324180114234583,1,1,0.966256064701836,1,0.4380165289256198,0.35287156249817264,0.526976044685399,0.7056277056277056,0.643876756826249,0.7606514745902245,Overall
melanoma_vs_rest,AI Skin Scanner,231,60,171,30,30,167,4,0.5,0.3773502424155577,0.6226497575844423,0.9766081871345029,0.9414065142404914,0.9908666496843307,0.8823529411764706,0.7337915722962817,0.9532855333511766,0.8477157360406091,0.7909313651275076,0.8911987130169154,0.8528138528138528,0.8013637559728725,0.8927215252996031,Overall
melanoma_vs_rest,ChatGPT,231,60,171,27,33,170,1,0.45,0.3309365440675524,0.5750806411466566,0.9941520467836257,0.9676230218186956,0.9989669456861814,0.9642857142857143,0.822878022566467,0.9936674801509623,0.8374384236453202,0.7805002387622153,0.8818427981758581,0.8528138528138528,0.8013637559728725,0.8927215252996031,Overall
