app,disease,outcome,n,correct_n,accuracy,ci_low,ci_high
ChatGPT,acrochordon,Top-1 diagnosis accuracy,3,1,0.3333333333333333,0.06149194472039626,0.7923403991979521
ChatGPT,angioma,Top-1 diagnosis accuracy,3,1,0.3333333333333333,0.06149194472039626,0.7923403991979521
ChatGPT,dermatofibroma,Top-1 diagnosis accuracy,18,5,0.2777777777777778,0.12499753379554004,0.5087265656029746
ChatGPT,eccrine-poroma,Top-1 diagnosis accuracy,3,1,0.3333333333333333,0.06149194472039626,0.7923403991979521
ChatGPT,epidermal-cyst,Top-1 diagnosis accuracy,15,2,0.13333333333333333,0.0373612591030654,0.3788198283232236
ChatGPT,inverted-follicular-keratosis,Top-1 diagnosis accuracy,3,0,0,0,0.5614970317550454
ChatGPT,kaposi-sarcoma,Top-1 diagnosis accuracy,3,0,0,0,0.5614970317550454
ChatGPT,lipoma,Top-1 diagnosis accuracy,3,1,0.3333333333333333,0.06149194472039626,0.7923403991979521
ChatGPT,melanocytic-nevi,Top-1 diagnosis accuracy,69,13,0.18840579710144928,0.11354748324355972,0.2961293588162841
ChatGPT,melanoma,Top-1 diagnosis accuracy,3,0,0,0,0.5614970317550454
ChatGPT,metastatic-carcinoma,Top-1 diagnosis accuracy,3,0,0,0,0.5614970317550454
ChatGPT,mycosis-fungoides,Top-1 diagnosis accuracy,9,3,0.3333333333333333,0.1205838183869109,0.6457978644196036
ChatGPT,nevus-lipomatosus-superficialis,Top-1 diagnosis accuracy,6,0,0,0,0.3903342879021652
ChatGPT,prurigo-nodularis,Top-1 diagnosis accuracy,3,0,0,0,0.5614970317550454
ChatGPT,pyogenic-granuloma,Top-1 diagnosis accuracy,9,4,0.4444444444444444,0.18877852109766463,0.7333487065045068
ChatGPT,seborrheic-keratosis,Top-1 diagnosis accuracy,54,3,0.05555555555555555,0.019073268454690928,0.15107214318166137
ChatGPT,seborrheic-keratosis-irritated,Top-1 diagnosis accuracy,3,0,0,0,0.5614970317550454
ChatGPT,squamous-cell-carcinoma,Top-1 diagnosis accuracy,9,3,0.3333333333333333,0.1205838183869109,0.6457978644196036
ChatGPT,squamous-cell-carcinoma-in-situ,Top-1 diagnosis accuracy,9,0,0,0,0.2991450484195439
ChatGPT,squamous-cell-carcinoma-keratoacanthoma,Top-1 diagnosis accuracy,3,0,0,0,0.5614970317550454
ChatGPT,verruca-vulgaris,Top-1 diagnosis accuracy,21,1,0.047619047619047616,0.008455987809826426,0.22669360074122552
Claude,acrochordon,Top-1 diagnosis accuracy,3,0,0,0,0.5614970317550454
Claude,angioma,Top-1 diagnosis accuracy,3,1,0.3333333333333333,0.06149194472039626,0.7923403991979521
Claude,dermatofibroma,Top-1 diagnosis accuracy,18,3,0.16666666666666666,0.05836576805861446,0.39222038103915724
Claude,eccrine-poroma,Top-1 diagnosis accuracy,3,0,0,0,0.5614970317550454
