app,disease,skin_tone,outcome,n,correct_n,accuracy,ci_low,ci_high
ChatGPT,acrochordon,12,Top-1 diagnosis accuracy,1,1,1,0.2065493143772375,1
ChatGPT,acrochordon,34,Top-1 diagnosis accuracy,1,0,0,0,0.7934506856227624
ChatGPT,acrochordon,56,Top-1 diagnosis accuracy,1,0,0,0,0.7934506856227624
ChatGPT,angioma,12,Top-1 diagnosis accuracy,1,0,0,0,0.7934506856227624
ChatGPT,angioma,34,Top-1 diagnosis accuracy,1,1,1,0.2065493143772375,1
ChatGPT,angioma,56,Top-1 diagnosis accuracy,1,0,0,0,0.7934506856227624
ChatGPT,dermatofibroma,12,Top-1 diagnosis accuracy,6,0,0,0,0.3903342879021652
ChatGPT,dermatofibroma,34,Top-1 diagnosis accuracy,6,2,0.3333333333333333,0.09677141110578052,0.7000066848616078
ChatGPT,dermatofibroma,56,Top-1 diagnosis accuracy,6,3,0.5,0.1876163064826506,0.8123836935173494
ChatGPT,eccrine-poroma,12,Top-1 diagnosis accuracy,1,0,0,0,0.7934506856227624
ChatGPT,eccrine-poroma,34,Top-1 diagnosis accuracy,1,1,1,0.2065493143772375,1
ChatGPT,eccrine-poroma,56,Top-1 diagnosis accuracy,1,0,0,0,0.7934506856227624
ChatGPT,epidermal-cyst,12,Top-1 diagnosis accuracy,5,0,0,0,0.43448246478317465
ChatGPT,epidermal-cyst,34,Top-1 diagnosis accuracy,5,1,0.2,0.03622410863243014,0.6244653702374747
ChatGPT,epidermal-cyst,56,Top-1 diagnosis accuracy,5,1,0.2,0.03622410863243014,0.6244653702374747
ChatGPT,inverted-follicular-keratosis,12,Top-1 diagnosis accuracy,1,0,0,0,0.7934506856227624
ChatGPT,inverted-follicular-keratosis,34,Top-1 diagnosis accuracy,1,0,0,0,0.7934506856227624
ChatGPT,inverted-follicular-keratosis,56,Top-1 diagnosis accuracy,1,0,0,0,0.7934506856227624
ChatGPT,kaposi-sarcoma,12,Top-1 diagnosis accuracy,1,0,0,0,0.7934506856227624
ChatGPT,kaposi-sarcoma,34,Top-1 diagnosis accuracy,1,0,0,0,0.7934506856227624
ChatGPT,kaposi-sarcoma,56,Top-1 diagnosis accuracy,1,0,0,0,0.7934506856227624
ChatGPT,lipoma,12,Top-1 diagnosis accuracy,1,1,1,0.2065493143772375,1
