app,skin_tone,outcome,n,correct_n,accuracy,ci_low,ci_high
ChatGPT,12,Top-1 diagnosis accuracy,84,7,0.08333333333333333,0.04095255062240717,0.162157223056476
ChatGPT,34,Top-1 diagnosis accuracy,84,14,0.16666666666666666,0.10195742148970749,0.26053039745339907
ChatGPT,56,Top-1 diagnosis accuracy,84,17,0.20238095238095238,0.13037456789632407,0.3004181275885925
Claude,12,Top-1 diagnosis accuracy,84,19,0.2261904761904762,0.1498602083744511,0.32646907147167215
Claude,34,Top-1 diagnosis accuracy,84,24,0.2857142857142857,0.2001503412161277,0.39002039953301204
Claude,56,Top-1 diagnosis accuracy,84,20,0.23809523809523808,0.15974690895549554,0.33935066307123096
ChatGPT,12,Benign/malignant accuracy,84,67,0.7976190476190477,0.6995818724114075,0.8696254321036759
ChatGPT,34,Benign/malignant accuracy,84,63,0.75,0.6478572653412803,0.8302768704513898
ChatGPT,56,Benign/malignant accuracy,84,68,0.8095238095238095,0.7127625740629011,0.8792130226327857
Claude,12,Benign/malignant accuracy,84,69,0.8214285714285714,0.7260557754840193,0.8886881133922706
Claude,34,Benign/malignant accuracy,84,64,0.7619047619047619,0.6606493369287689,0.8402530910445043
Claude,56,Benign/malignant accuracy,84,66,0.7857142857142857,0.6865066777843957,0.8599323345500843
