disease_group,app,n,correct_n,accuracy,ci_low,ci_high
basal cell carcinoma,AI Skin Scanner,58,41,0.7068965517241379,0.5798709910321588,0.8082181720903779
basal cell carcinoma,ChatGPT,58,30,0.5172413793103449,0.39162261783409485,0.6407181457594501
basal cell carcinoma,Claude,58,17,0.29310344827586204,0.191781827909622,0.42012900896784117
basal cell carcinoma,Model Dermatol,58,48,0.8275862068965517,0.7109174349067378,0.903557073370612
benign nevus,AI Skin Scanner,53,7,0.1320754716981132,0.06547853284463252,0.24840255308904924
benign nevus,ChatGPT,53,21,0.39622641509433965,0.2758940673800168,0.5305852132679447
benign nevus,Claude,53,23,0.4339622641509434,0.30950396559750293,0.5673464857239271
benign nevus,Model Dermatol,53,27,0.5094339622641509,0.3788352911467996,0.6387575015215676
melanoma spectrum,AI Skin Scanner,60,26,0.43333333333333335,0.3157239680468677,0.5589656122387443
melanoma spectrum,ChatGPT,60,23,0.38333333333333336,0.27088272374082023,0.5098240417590006
melanoma spectrum,Claude,60,33,0.55,0.4249193588533435,0.6690634559324475
melanoma spectrum,Model Dermatol,60,30,0.5,0.37735024241555776,0.6226497575844423
squamous cell carcinoma,AI Skin Scanner,60,11,0.18333333333333332,0.10557796889197642,0.2991975374646805
squamous cell carcinoma,ChatGPT,60,21,0.35,0.24167774406017556,0.47637381158245123
squamous cell carcinoma,Claude,60,31,0.5166666666666667,0.393078100325925,0.6382495046026722
squamous cell carcinoma,Model Dermatol,60,32,0.5333333333333333,0.40893427027157897,0.653720939585615
