app,outcome,fitzpatrick_group_3,n,correct_n,accuracy,ci_low,ci_high
AI Skin Scanner,Top-1 diagnosis accuracy,I-II,81,24,0.2962962962962963,0.20791957048345952,0.40311964950752444
AI Skin Scanner,Top-1 diagnosis accuracy,III-IV,80,33,0.4125,0.31105857612761884,0.5219595965410984
AI Skin Scanner,Top-1 diagnosis accuracy,V-VI,70,28,0.4,0.2933425772556162,0.5170620352264371
AI Skin Scanner,Any diagnosis accuracy,I-II,81,45,0.5555555555555556,0.4472757377643103,0.6588044749654215
AI Skin Scanner,Any diagnosis accuracy,III-IV,80,47,0.5875,0.47804040345890164,0.6889414238723812
AI Skin Scanner,Any diagnosis accuracy,V-VI,70,43,0.6142857142857143,0.4971573558930424,0.719523086984611
AI Skin Scanner,Benign/malignant accuracy,I-II,81,60,0.7407407407407407,0.6359565111747225,0.8237244106541146
AI Skin Scanner,Benign/malignant accuracy,III-IV,80,64,0.8,0.6995375627182918,0.8729715595603922
AI Skin Scanner,Benign/malignant accuracy,V-VI,70,45,0.6428571428571429,0.5258839463134151,0.7449666072836516
Model Dermatol,Top-1 diagnosis accuracy,I-II,81,49,0.6049382716049383,0.49605477323606173,0.7043189619200981
Model Dermatol,Top-1 diagnosis accuracy,III-IV,80,51,0.6375,0.5281079450222217,0.7342920693555084
Model Dermatol,Top-1 diagnosis accuracy,V-VI,70,37,0.5285714285714286,0.41321887468325624,0.640951236036157
Model Dermatol,Any diagnosis accuracy,I-II,81,55,0.6790123456790124,0.5712362384861902,0.7705777803096119
Model Dermatol,Any diagnosis accuracy,III-IV,80,57,0.7125,0.6053965378701003,0.8001307570773009
Model Dermatol,Any diagnosis accuracy,V-VI,70,43,0.6142857142857143,0.4971573558930424,0.719523086984611
Model Dermatol,Benign/malignant accuracy,I-II,81,61,0.7530864197530864,0.649157421322665,0.8340968811127794
Model Dermatol,Benign/malignant accuracy,III-IV,80,59,0.7375,0.6318104033557184,0.8214259851149064
Model Dermatol,Benign/malignant accuracy,V-VI,70,43,0.6142857142857143,0.4971573558930424,0.719523086984611
ChatGPT,Top-1 diagnosis accuracy,I-II,81,36,0.4444444444444444,0.3411955250345786,0.5527242622356898
ChatGPT,Top-1 diagnosis accuracy,III-IV,80,27,0.3375,0.24345612608081607,0.44643476601823034
ChatGPT,Top-1 diagnosis accuracy,V-VI,70,32,0.45714285714285713,0.3457274259756358,0.573017407945244
ChatGPT,Any diagnosis accuracy,I-II,81,62,0.7654320987654321,0.6624527035476533,0.8443749794943978
ChatGPT,Any diagnosis accuracy,III-IV,80,49,0.6125,0.5029365721075572,0.7117543487469493
ChatGPT,Any diagnosis accuracy,V-VI,70,57,0.8142857142857143,0.7077442179325669,0.8881269999809797
ChatGPT,Benign/malignant accuracy,I-II,81,61,0.7530864197530864,0.649157421322665,0.8340968811127794
ChatGPT,Benign/malignant accuracy,III-IV,80,58,0.725,0.6185594135898548,0.810822428119158
ChatGPT,Benign/malignant accuracy,V-VI,70,52,0.7428571428571429,0.6297386985284518,0.8307072425865615
Claude,Top-1 diagnosis accuracy,I-II,81,47,0.5802469135802469,0.47153660142593207,0.6816903725170137
Claude,Top-1 diagnosis accuracy,III-IV,80,33,0.4125,0.31105857612761884,0.5219595965410984
Claude,Top-1 diagnosis accuracy,V-VI,70,24,0.34285714285714286,0.24245988802266882,0.4596045030205579
Claude,Any diagnosis accuracy,I-II,81,59,0.7283950617283951,0.6228457676019475,0.8132617736202826
Claude,Any diagnosis accuracy,III-IV,80,47,0.5875,0.47804040345890164,0.6889414238723812
Claude,Any diagnosis accuracy,V-VI,70,40,0.5714285714285714,0.4547783655985021,0.6806469112000313
Claude,Benign/malignant accuracy,I-II,81,70,0.8641975308641975,0.7729693623122127,0.9224453655826947
Claude,Benign/malignant accuracy,III-IV,80,65,0.8125,0.7134167737100688,0.8829468953302267
Claude,Benign/malignant accuracy,V-VI,70,56,0.8,0.6918335550374695,0.8769526075163705
