app,outcome,fitzpatrick_scale,n,correct_n,accuracy,ci_low,ci_high
AI Skin Scanner,Top-1 diagnosis accuracy,1,41,9,0.21951219512195122,0.1200317477821757,0.3670500598822617
AI Skin Scanner,Top-1 diagnosis accuracy,2,40,15,0.375,0.24222979167233274,0.5296756086269889
AI Skin Scanner,Top-1 diagnosis accuracy,3,40,13,0.325,0.20084502231782703,0.4798225381012233
AI Skin Scanner,Top-1 diagnosis accuracy,4,40,20,0.5,0.35199526933465386,0.6480047306653461
AI Skin Scanner,Top-1 diagnosis accuracy,5,46,19,0.41304347826086957,0.28288603224812775,0.5566050222015384
AI Skin Scanner,Top-1 diagnosis accuracy,6,24,9,0.375,0.2115936755954878,0.5729003755732571
AI Skin Scanner,Any diagnosis accuracy,1,41,22,0.5365853658536586,0.3874647126766948,0.6794376602366394
AI Skin Scanner,Any diagnosis accuracy,2,40,23,0.575,0.42195068541991076,0.7149060744004961
AI Skin Scanner,Any diagnosis accuracy,3,40,21,0.525,0.3749736210669248,0.670645298873211
AI Skin Scanner,Any diagnosis accuracy,4,40,26,0.65,0.495058808372577,0.778654711268237
AI Skin Scanner,Any diagnosis accuracy,5,46,31,0.6739130434782609,0.5296773241932242,0.7913405669074434
AI Skin Scanner,Any diagnosis accuracy,6,24,12,0.5,0.3142742581957336,0.6857257418042664
AI Skin Scanner,Benign/malignant accuracy,1,41,30,0.7317073170731707,0.5806646689292336,0.8430503595218832
AI Skin Scanner,Benign/malignant accuracy,2,40,30,0.75,0.5980603857923198,0.8581288136090369
AI Skin Scanner,Benign/malignant accuracy,3,40,29,0.725,0.5716504419378944,0.8389198375233266
AI Skin Scanner,Benign/malignant accuracy,4,40,35,0.875,0.738878801611489,0.945404997490546
AI Skin Scanner,Benign/malignant accuracy,5,46,34,0.7391304347826086,0.597408464719844,0.843991135543574
AI Skin Scanner,Benign/malignant accuracy,6,24,11,0.4583333333333333,0.27891333731210993,0.649251346410805
Model Dermatol,Top-1 diagnosis accuracy,1,41,25,0.6097560975609756,0.45726856934123794,0.7434385493987647
Model Dermatol,Top-1 diagnosis accuracy,2,40,24,0.6,0.445958936603462,0.7365167431570807
