app,outcome,label,fitzpatrick_scale,n,correct_n,accuracy,ci_low,ci_high
AI Skin Scanner,Top-1 diagnosis accuracy,melanoma spectrum,1,10,4,0.4,0.16818032970623614,0.6873262302663417
AI Skin Scanner,Top-1 diagnosis accuracy,melanoma spectrum,2,10,3,0.3,0.10779126740630104,0.6032218525388545
AI Skin Scanner,Top-1 diagnosis accuracy,melanoma spectrum,3,10,4,0.4,0.16818032970623614,0.6873262302663417
AI Skin Scanner,Top-1 diagnosis accuracy,melanoma spectrum,4,10,6,0.6,0.3126737697336583,0.8318196702937637
AI Skin Scanner,Top-1 diagnosis accuracy,melanoma spectrum,5,11,4,0.36363636363636365,0.15166471095367573,0.646198825492151
AI Skin Scanner,Top-1 diagnosis accuracy,melanoma spectrum,6,9,5,0.5555555555555556,0.26665129349549316,0.8112214789023353
AI Skin Scanner,Top-1 diagnosis accuracy,squamous cell carcinoma,1,10,1,0.1,0.017876213095072924,0.40415002679523837
AI Skin Scanner,Top-1 diagnosis accuracy,squamous cell carcinoma,2,10,4,0.4,0.16818032970623614,0.6873262302663417
AI Skin Scanner,Top-1 diagnosis accuracy,squamous cell carcinoma,3,10,0,0,0,0.27753279986288903
AI Skin Scanner,Top-1 diagnosis accuracy,squamous cell carcinoma,4,10,2,0.2,0.056682151454375274,0.5098375284633582
AI Skin Scanner,Top-1 diagnosis accuracy,squamous cell carcinoma,5,10,1,0.1,0.017876213095072924,0.40415002679523837
AI Skin Scanner,Top-1 diagnosis accuracy,squamous cell carcinoma,6,10,3,0.3,0.10779126740630104,0.6032218525388545
AI Skin Scanner,Top-1 diagnosis accuracy,basal cell carcinoma,1,10,4,0.4,0.16818032970623614,0.6873262302663417
AI Skin Scanner,Top-1 diagnosis accuracy,basal cell carcinoma,2,10,8,0.8,0.49016247153664183,0.9433178485456247
AI Skin Scanner,Top-1 diagnosis accuracy,basal cell carcinoma,3,10,7,0.7,0.39677814746114537,0.8922087325936989
AI Skin Scanner,Top-1 diagnosis accuracy,basal cell carcinoma,4,10,9,0.9,0.5958499732047616,0.982123786904927
AI Skin Scanner,Top-1 diagnosis accuracy,basal cell carcinoma,5,15,12,0.8,0.5481455128483066,0.9295245065301845
AI Skin Scanner,Top-1 diagnosis accuracy,basal cell carcinoma,6,3,1,0.3333333333333333,0.06149194472039626,0.7923403991979521
AI Skin Scanner,Top-1 diagnosis accuracy,benign nevus,1,11,0,0,0,0.2588329669680316
AI Skin Scanner,Top-1 diagnosis accuracy,benign nevus,2,10,0,0,0,0.27753279986288903
AI Skin Scanner,Top-1 diagnosis accuracy,benign nevus,3,10,2,0.2,0.056682151454375274,0.5098375284633582
AI Skin Scanner,Top-1 diagnosis accuracy,benign nevus,4,10,3,0.3,0.10779126740630104,0.6032218525388545
AI Skin Scanner,Top-1 diagnosis accuracy,benign nevus,5,10,2,0.2,0.056682151454375274,0.5098375284633582
AI Skin Scanner,Top-1 diagnosis accuracy,benign nevus,6,2,0,0,0,0.6576197724933468
AI Skin Scanner,Any diagnosis accuracy,melanoma spectrum,1,10,8,0.8,0.49016247153664183,0.9433178485456247
AI Skin Scanner,Any diagnosis accuracy,melanoma spectrum,2,10,6,0.6,0.3126737697336583,0.8318196702937637
AI Skin Scanner,Any diagnosis accuracy,melanoma spectrum,3,10,6,0.6,0.3126737697336583,0.8318196702937637
AI Skin Scanner,Any diagnosis accuracy,melanoma spectrum,4,10,7,0.7,0.39677814746114537,0.8922087325936989
AI Skin Scanner,Any diagnosis accuracy,melanoma spectrum,5,11,7,0.6363636363636364,0.3538011745078489,0.8483352890463243
AI Skin Scanner,Any diagnosis accuracy,melanoma spectrum,6,9,5,0.5555555555555556,0.26665129349549316,0.8112214789023353
AI Skin Scanner,Any diagnosis accuracy,squamous cell carcinoma,1,10,7,0.7,0.39677814746114537,0.8922087325936989
