label,app,outcome,fitzpatrick_scale,n,correct_n,accuracy,ci_low,ci_high
basal cell carcinoma,AI Skin Scanner,Top-1 diagnosis accuracy,1,10,4,0.4,0.16818032970623614,0.6873262302663417
basal cell carcinoma,AI Skin Scanner,Top-1 diagnosis accuracy,2,10,8,0.8,0.49016247153664183,0.9433178485456247
basal cell carcinoma,AI Skin Scanner,Top-1 diagnosis accuracy,3,10,7,0.7,0.39677814746114537,0.8922087325936989
basal cell carcinoma,AI Skin Scanner,Top-1 diagnosis accuracy,4,10,9,0.9,0.5958499732047616,0.982123786904927
basal cell carcinoma,AI Skin Scanner,Top-1 diagnosis accuracy,5,15,12,0.8,0.5481455128483066,0.9295245065301845
basal cell carcinoma,AI Skin Scanner,Top-1 diagnosis accuracy,6,3,1,0.3333333333333333,0.06149194472039626,0.7923403991979521
basal cell carcinoma,AI Skin Scanner,Benign/malignant accuracy,1,10,6,0.6,0.3126737697336583,0.8318196702937637
basal cell carcinoma,AI Skin Scanner,Benign/malignant accuracy,2,10,8,0.8,0.49016247153664183,0.9433178485456247
basal cell carcinoma,AI Skin Scanner,Benign/malignant accuracy,3,10,7,0.7,0.39677814746114537,0.8922087325936989
basal cell carcinoma,AI Skin Scanner,Benign/malignant accuracy,4,10,10,1,0.7224672001371109,1
basal cell carcinoma,AI Skin Scanner,Benign/malignant accuracy,5,15,13,0.8666666666666667,0.6211801716767765,0.9626387408969347
basal cell carcinoma,AI Skin Scanner,Benign/malignant accuracy,6,3,1,0.3333333333333333,0.06149194472039626,0.7923403991979521
basal cell carcinoma,Model Dermatol,Top-1 diagnosis accuracy,1,10,7,0.7,0.39677814746114537,0.8922087325936989
basal cell carcinoma,Model Dermatol,Top-1 diagnosis accuracy,2,10,9,0.9,0.5958499732047616,0.982123786904927
basal cell carcinoma,Model Dermatol,Top-1 diagnosis accuracy,3,10,8,0.8,0.49016247153664183,0.9433178485456247
basal cell carcinoma,Model Dermatol,Top-1 diagnosis accuracy,4,10,9,0.9,0.5958499732047616,0.982123786904927
basal cell carcinoma,Model Dermatol,Top-1 diagnosis accuracy,5,15,12,0.8,0.5481455128483066,0.9295245065301845
basal cell carcinoma,Model Dermatol,Top-1 diagnosis accuracy,6,3,3,1,0.4385029682449546,1
basal cell carcinoma,Model Dermatol,Benign/malignant accuracy,1,10,7,0.7,0.39677814746114537,0.8922087325936989
basal cell carcinoma,Model Dermatol,Benign/malignant accuracy,2,10,9,0.9,0.5958499732047616,0.982123786904927
basal cell carcinoma,Model Dermatol,Benign/malignant accuracy,3,10,8,0.8,0.49016247153664183,0.9433178485456247
basal cell carcinoma,Model Dermatol,Benign/malignant accuracy,4,10,9,0.9,0.5958499732047616,0.982123786904927
basal cell carcinoma,Model Dermatol,Benign/malignant accuracy,5,15,12,0.8,0.5481455128483066,0.9295245065301845
basal cell carcinoma,Model Dermatol,Benign/malignant accuracy,6,3,3,1,0.4385029682449546,1
basal cell carcinoma,ChatGPT,Top-1 diagnosis accuracy,1,10,3,0.3,0.10779126740630104,0.6032218525388545
basal cell carcinoma,ChatGPT,Top-1 diagnosis accuracy,2,10,6,0.6,0.3126737697336583,0.8318196702937637
basal cell carcinoma,ChatGPT,Top-1 diagnosis accuracy,3,10,5,0.5,0.23659309051256405,0.763406909487436
