app,metric,estimate,low,high,value_label
AI Skin Scanner,Sensitivity,0.6685393258426966,0.5964666084864052,0.7334911491620493,0.67
ChatGPT,Sensitivity,0.6741573033707865,0.602257073812062,0.7386992757580076,0.67
Claude,Sensitivity,0.7808988764044944,0.714552323458401,0.8353772726223565,0.78
Model Dermatol,Sensitivity,0.6179775280898876,0.5448204824524585,0.6861499479014594,0.62
AI Skin Scanner,Specificity,0.9433962264150944,0.8462979168981912,0.9805633385150644,0.94
ChatGPT,Specificity,0.9622641509433962,0.8724571280258165,0.9895897127241732,0.96
Claude,Specificity,0.981132075471698,0.9005708794749878,0.9966615466117364,0.98
Model Dermatol,Specificity,1,0.9324180114234584,1,1.00
AI Skin Scanner,PPV,0.9754098360655736,0.93019240156411,0.9916023796397794,0.98
ChatGPT,PPV,0.9836065573770492,0.9421950412865177,0.9954927533864044,0.98
Claude,PPV,0.9928571428571428,0.9606516069372742,0.9987379955557328,0.99
Model Dermatol,PPV,1,0.966256064701836,1,1.00
AI Skin Scanner,NPV,0.45871559633027525,0.3681716204188823,0.5520704599826032,0.46
ChatGPT,NPV,0.4678899082568808,0.37691328555456327,0.5610527769799255,0.47
Claude,NPV,0.5714285714285714,0.4688974928537033,0.6681733637278853,0.57
Model Dermatol,NPV,0.4380165289256198,0.35287156249817264,0.526976044685399,0.44
AI Skin Scanner,AUROC,0.8777824888700445,0.8379266482934068,0.9148319906720372,0.88
AI Skin Scanner,AUPRC,0.9484619054527061,0.9327063071535834,0.9628564176234594,0.95
ChatGPT,AUROC,0.9164723341106635,0.8731118825524697,0.9525148399406402,0.92
ChatGPT,AUPRC,0.9639210784036427,0.9434821750786244,0.9804648481150007,0.96
Claude,AUROC,0.9439262242951029,0.9125490248039008,0.9708514415942336,0.94
Claude,AUPRC,0.9770594570556538,0.9633369600087524,0.9883661942815941,0.98
Model Dermatol,AUROC,0.8706275174899301,0.8359643311426755,0.9022180411278354,0.87
Model Dermatol,AUPRC,0.9417411095621694,0.927119387537934,0.956174911231091,0.94
