metric,app,n,correct_n,accuracy,ci_low,ci_high,value_label
Top-1 diagnosis,AI Skin Scanner,231,85,0.36796536796536794,0.30840872864487623,0.4318415648666511,36.8%
Top-1 diagnosis,Model Dermatol,231,137,0.5930735930735931,0.5287018329176807,0.6544004191971442,59.3%
Top-1 diagnosis,ChatGPT,231,95,0.41125541125541126,0.34975710136650406,0.47565703033796514,41.1%
Top-1 diagnosis,Claude,231,104,0.45021645021645024,0.3873948008988939,0.5146667851792229,45.0%
Top-3 diagnosis,AI Skin Scanner,231,135,0.5844155844155844,0.5199890497317851,0.6460804347444514,58.4%
Top-3 diagnosis,Model Dermatol,231,155,0.670995670995671,0.608040866415517,0.7283562944466031,67.1%
Top-3 diagnosis,ChatGPT,231,168,0.7272727272727273,0.6664734035779968,0.7806367469349477,72.7%
Top-3 diagnosis,Claude,231,146,0.6320346320346321,0.5681584351333488,0.6915912713551238,63.2%
Benign/malignant triage,AI Skin Scanner,231,169,0.7316017316017316,0.671012256987945,0.7846142773442936,73.2%
Benign/malignant triage,Model Dermatol,231,163,0.7056277056277056,0.643876756826249,0.7606514745902245,70.6%
Benign/malignant triage,ChatGPT,231,171,0.7402597402597403,0.6801102540539505,0.7925490479168764,74.0%
Benign/malignant triage,Claude,231,191,0.8268398268398268,0.772804635538447,0.8701823428182636,82.7%
