app,tone_group,n,correct_n,accuracy,ci_low,ci_high
AI Skin Scanner,I-II,81,24,0.2962962962962963,0.20791957048345955,0.4031196495075245
AI Skin Scanner,III-IV,80,33,0.4125,0.31105857612761884,0.5219595965410985
AI Skin Scanner,V-VI,70,28,0.4,0.2933425772556162,0.5170620352264371
ChatGPT,I-II,81,36,0.4444444444444444,0.3411955250345786,0.5527242622356898
ChatGPT,III-IV,80,27,0.3375,0.24345612608081607,0.44643476601823034
ChatGPT,V-VI,70,32,0.45714285714285713,0.3457274259756358,0.573017407945244
Claude,I-II,81,47,0.5802469135802469,0.47153660142593207,0.6816903725170137
Claude,III-IV,80,33,0.4125,0.31105857612761884,0.5219595965410985
Claude,V-VI,70,24,0.34285714285714286,0.2424598880226688,0.4596045030205579
Model Dermatol,I-II,81,49,0.6049382716049383,0.4960547732360618,0.7043189619200981
Model Dermatol,III-IV,80,51,0.6375,0.5281079450222217,0.7342920693555084
Model Dermatol,V-VI,70,37,0.5285714285714286,0.41321887468325624,0.640951236036157
